cif name= ./1522045.cif
./1522045.cif
Full Formula (Pr10 Mo64 O108)
Reduced Formula: Pr5(Mo16O27)2
abc   :  10.177000   9.117100  22.880000
angles:  90.000000 105.186000  90.000000
Sites (182)
  #  SP          a        b        c
---  ----  -------  -------  -------
O1 : [ 2.62485125  4.53484554 -0.63814213] : 90
O1 : [1.57390052 6.73206664 0.38421014] : 175
!!!atention to nb coordination!!!
         [2.701412848312705, 2.692421035830268, 2.7108955825339573, 2.68821196388783, 2.739710658311022, 2.7397106583110213, 2.5497998121607055, 2.69242103583027, 2.5497998121607055, 2.6882119638878317, 2.7014128483127045, 2.710895582533956]
         [2.7014128483127036, 2.692421035830268, 2.710895582533956, 2.6882119638878303, 2.7397106583110213, 2.7397106583110213, 2.5497998121607055, 2.692421035830268, 2.5497998121607055, 2.6882119638878303, 2.701412848312703, 2.7108955825339565]

ce_symbol  = I:12
ce_fraction=  2.394134260124177e-05
species:coords:index
O1 : [-2.62485125  4.58225446  0.63814213] : 92
O1 : [0.34851333 2.39597388 1.56554592] : 87
O1 : [-1.57390052  2.38503336 -0.38421014] : 177
O1 : [-0.6744848   4.63331022  2.60114681] : 140
O1 : [-1.92444925  4.52755186 -1.94975606] : 82
O1 : [1.92444925 4.58954814 1.94975606] : 84
O1 : [-1.05453489  6.65457129  0.99806312] : 112
O1 : [-0.34851333  6.72112612 -1.56554592] : 89
O1 : [ 1.05453489  2.46252871 -0.99806312] : 110
O1 : [ 0.6744848   4.48378978 -2.60114681] : 138
O1 : [ 2.62485125  4.53484554 -0.63814213] : 90
O1 : [1.57390052 6.73206664 0.38421014] : 175
!!!atention to nb coordination!!!
         [2.701412848312705, 2.692421035830268, 2.7108955825339573, 2.68821196388783, 2.739710658311022, 2.7397106583110213, 2.5497998121607055, 2.69242103583027, 2.5497998121607055, 2.6882119638878317, 2.7014128483127045, 2.710895582533956]
         [2.7014128483127036, 2.692421035830268, 2.710895582533956, 2.6882119638878303, 2.7397106583110213, 2.7397106583110213, 2.5497998121607055, 2.692421035830268, 2.5497998121607055, 2.6882119638878303, 2.701412848312703, 2.7108955825339565]

ce_symbol  = AC:12
ce_fraction=  8.595700510871461e-07
species:coords:index
O1 : [-2.62485125  4.58225446  0.63814213] : 92
O1 : [0.34851333 2.39597388 1.56554592] : 87
O1 : [-1.57390052  2.38503336 -0.38421014] : 177
O1 : [-0.6744848   4.63331022  2.60114681] : 140
O1 : [-1.92444925  4.52755186 -1.94975606] : 82
O1 : [1.92444925 4.58954814 1.94975606] : 84
O1 : [-1.05453489  6.65457129  0.99806312] : 112
O1 : [-0.34851333  6.72112612 -1.56554592] : 89
O1 : [ 1.05453489  2.46252871 -0.99806312] : 110
O1 : [ 0.6744848   4.48378978 -2.60114681] : 138
O1 : [ 2.62485125  4.53484554 -0.63814213] : 90
O1 : [1.57390052 6.73206664 0.38421014] : 175
!!!atention to nb coordination!!!
         [2.701412848312705, 2.692421035830268, 2.7108955825339573, 2.68821196388783, 2.739710658311022, 2.7397106583110213, 2.5497998121607055, 2.69242103583027, 2.5497998121607055, 2.6882119638878317, 2.7014128483127045, 2.710895582533956]
         [2.7014128483127036, 2.692421035830268, 2.710895582533956, 2.6882119638878303, 2.7397106583110213, 2.7397106583110213, 2.5497998121607055, 2.692421035830268, 2.5497998121607055, 2.6882119638878303, 2.701412848312703, 2.7108955825339565]


**isite= 1
Pr1 : [-2.99674658  0.         11.04052127]

ce_symbol  = C:12
