file	formula	svnrevision
1001345	- B2 O6 U -	130149
1001347	- B2 Ca O10 U2 -	130149
1001348	- Ba Fe0.233 Mn0.767 O2.87 -	176435
1001351	- Na O3.5 U -	176729
1001352	- Mn2 O5 Sr2 -	130149
1001353	- Ba Nb4 O17 Ti3 -	130149
1001354	- Cu2.67 Li1.33 Nb1.33 O12 Ti2.67 -	130149
1001355	- Nb2 O11.5 Tl U2 -	130149
1001356	- K Nb O6 U -	130149
1001359	- B Na O5 U -	130149
1001360	- B2 Mg O7 U -	130149
1001365	- Cu8 La6.4 O20 Sr1.6 -	130149
1001366	- Ba2 Ca1.9 Cu3 O10.94 Tl1.82 -	130149
1001367	- Ba2 Ca Cu2 O7 Tl -	130149
1001372	- Ag Mo Na O4 -	130149
1001373	- Ba2 Ca2 Cu3 O8.84 Tl0.93 -	176435
1001376	- Ba1.5 Cu3 La1.5 O7.02 -	130149
1001377	- Ba2 Cu2.98 O6.92 Y -	130149
1001378	- Ba2 Cu2.98 O6.96 Y -	130149
1001379	- Ba2 Cu2.93 O7 Y -	130149
1001381	- K O3.5 U -	176729
1001382	- Ca0.75 Fe1.5 O4 Sn0.5 -	200092
1001386	- O5 Ta V -	130149
1001392	- B4 Ni7 O16 U -	130149
1001397	- Ba La O6 Ru Zn -	130149
1001398	- Ba La O6 Ru Zn -	130149
1001399	- Fe O6 Ru Sr2 -	130149
1001400	- Fe O6 Ru Sr2 -	130149
1001401	- Ba La Ni O6 Ru -	130149
1001402	- Ba La Ni O6 Ru -	130149
1001403	- Ba0.92 Cu3 O8 Pb0.92 Sr1.15 Y1.15 -	176435
1001404	- Cu O5 Pr0.6 Sr1.6 Tl0.8 -	176435
1001410	- Ca3.11 Na8 O17.52 U3.7 -	130149
1001411	- Ca0.91 Cu2 O7 Pb0.5 Sr2 Tl0.59 -	176435
1001412	- Ca0.5 Cu2 O6.3 Pb0.46 Sr2.46 Y0.5 -	200133
1001413	- B Li O5 U -	130149
1001416	- Al11 Fe La0.96 O19 -	176435
1001420	- Ba2 Ca1.07 Cu2 O8 Tl1.93 -	130149
1001421	- Ba2 Cu3 O6 Y -	200100
1001422	- Ba2 Cu2.79 Fe0.15 O6.92 Y -	176435
1001423	- Ba2 Cu2.79 Fe0.15 O6.96 Y -	176435
1001424	- Ba2 Cu2.79 Fe0.15 O6.96 Y -	176435
1001431	- Ba2 Cu3 O6.04 Y -	130149
1001432	- Ba2 Cu3 O7.34 Y -	130149
1001433	- Ba1.5 Cu3 La1.5 O7.36 -	130149
1001434	- Ba2 Cu3 Nd O6.85 -	130149
1001435	- Ba2 Cu3 O6.92 Y -	130149
1001436	- Ba2 Cu3 Er O6.99 -	130149
1001437	- Ca0.5 Fe1.5 Li0.5 O4 Sn0.5 -	176435
1001438	- La Mo7.7 O14 -	130149
1001442	- Cu2 O6.6 Pb0.5 Sr2.5 Y -	176435
1001443	- B2 O5 Th -	130149
1001452	- Ba2 Cu3 O7 Y -	130149
1001453	- Ba2 Cu3 O7 Y -	130149
1001454	- Ba2 Cu3 O7 Y -	130149
1001455	- Ba2 Cu3 O7 Y -	130149
1001456	- Ba2 Cu3 O7 Y -	130149
1001457	- Ba2 Cu3 O7 Y -	130149
1001458	- Ce Cu3 Nd O10.2 Pb2 Sr2 -	200133
1001459	- Cu2 Nd O5.76 Sr2 -	130149
1001462	- Al11 Gd0.46 La0.43 Mg0.635 O18.46 -	176435
1001469	- Ba2 Ce O6 Pt -	130149
1001472	- Er O6 Ru Sr2 -	130149
1001473	- Er O6 Ru Sr2 -	130149
1001474	- Ca2 Nd O6 Ru -	130149
1001475	- Ca2 Nd O6 Ru -	130149
1001476	- Ca2 Ho O6 Ru -	130149
1001479	- Cu Nd O3.56 Sr -	130149
1001480	- Cu2 Nd1.79 O6 Sr1.21 -	130149
1001482	- Ba Ce0.9 Cu0.9 Fe1.1 Nd O7 -	176435
1001483	- Ba1.6 Cu2 La2.4 O9 Tl -	130149
1001484	- Ba2 Ca0.8 Cu2 Nd0.2 O6.86 Tl0.96 -	176435
1001485	- Ba2 Ca0.5 Cu2 Nd0.5 O6.86 Tl0.95 -	176435
1001486	- Ba2 Cu2 Nd O6.96 Tl0.96 -	176435
1001487	- Cu La O5 Sr Tl -	130149
1001488	- Cu La0.6 O5 Sr1.4 Tl -	176435
1001489	- Cu La0.7 O5 Sr Tl1.3 -	176435
1001490	- Ba2 Ca0.09 Cu2.91 Fe0.09 O7.01 Y0.91 -	176435
1001491	- Ba2 Ca0.12 Cu2.88 Fe0.12 O6.98 Y0.88 -	176435
1001492	- Ba2 Ca0.15 Cu2.85 Fe0.15 O7.12 Y0.85 -	176435
1001493	- Ba2 Ca0.24 Cu2.76 Fe0.24 O7.04 Y0.76 -	176435
1001494	- Ba2 Ca0.09 Cu2.91 Fe0.09 O6 Y0.91 -	176435
1001495	- Ba2 Ca0.24 Cu2.76 Fe0.24 O6 Y0.76 -	176435
